32621	-20.756046	-39.381028	1
32625	-16.889472	-37.525489	1
32629	-14.571604	-36.456441	1
32632	-11.850567	-35.234418	1
32634	-11.109586	-34.906876	1
32636	-9.205142	-34.073738	1
32643	-6.380375	-32.857053	1
32645	-5.228168	-32.365886	1
32647	-4.793057	-32.181015	1
32649	-4.692855	-32.138483	1
32651	-4.689333	-32.136988	1
32653	-4.617578	-32.106541	1
32656	-4.126397	-31.898325	1
32662	-3.229234	-31.518831	1
32664	-3.189080	-31.501869	1
32666	-2.162457	-31.068725	1
32669	-0.968734	-30.566099	1
32671	-0.388578	-30.322072	1
32673	-0.369809	-30.314179	1
32676	-0.147367	-30.220642	1
32678	0.813193	-29.816795	1
32680	1.034375	-29.723802	1
32685	2.434389	-29.134904	1
32689	2.473137	-29.118594	1
32691	2.474228	-29.118135	1
32693	3.563030	-28.659449	1
32695	4.126914	-28.421532	1
32698	7.003943	-27.201967	1
32700	7.056916	-27.179403	1
32705	7.739688	-26.888158	1
32707	8.264274	-26.663842	1
32710	8.559136	-26.537540	1
32714	9.126177	-26.294203	1
32716	9.261208	-26.236168	1
32720	1238578738.066598	-52307360675.812119	1
32722	10.385276	-25.751691	1
32724	1238578738.066598	-51357461096.748001	1
32726	10.440912	-25.727648	1
32728	10.452338	-25.722710	1
32730	10.541956	-25.683968	1
32733	11.029824	-25.472787	1
32736	11.062006	-25.458841	1
32738	11.179969	-25.407703	1
32741	11.534790	-25.253729	1
32744	12.591026	-24.794102	1
32746	12.615157	-24.783582	1
32749	12.787105	-24.708592	1
32752	13.331485	-24.470944	1
32754	14.381271	-24.011978	1
32757	14.461301	-23.976974	1
32759	15.253882	-23.630415	1
32761	15.935875	-23.332735	1
32765	16.948306	-22.892951	1
32768	22.509805	-20.779958	1
32774	22.588403	-20.762574	1
32781	23.986293	-20.743384	1
32783	24.069551	-20.778711	1
32786	24.279146	-20.917427	1
32789	24.330821	-20.967690	1
32791	24.333806	-20.970863	1
32793	24.338030	-20.975409	1
32796	24.356183	-20.995709	1
